text,user,location
"RT @cnni: The virus that causes Covid-19 has been circulating in people since late last year, and must have spread extremely quickly after…",vaskman,Quetzaltenango
"RT @HillBeverlyhill: Trump's staff cuts have undermined Covid-19 containment efforts, watchdog finds | Trump administration | The Guardian…",artytrace,
"RT @IndoPac_Info: #coronavirus: Trouble on the #China #Russia Border

China closed its border to prevent imported cases from Russia. Now Ru…",dutchess_becky,
There's still time to contribute to our #GivingTuesdayNow campaign. Be there for older San Diegans who've been cut off from their usual support systems in the COVID-19 pandemic. Together we can ensure every senior has someone they can turn to and trust. https://t.co/QGH15uNc5x https://t.co/vXEsXGyB7l,SeniorsSD,"San Diego, CA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",alt_ramsey,SoCal
"RT @mmpadellan: With 71,000 dead from coronavirus, inadequate testing and supplies, it seems a bad idea to rush to reopen the country.

How…",JeffreyTesch5,"Franklin, NC"
RT @ShaidaBadiee: A blog by @CarenGrown on impact of COVID-19 through a gender lens + a call for more timely sex disaggregated data. We sho…,rakeshrajani,global
RT @wdunlap: Our Government is inflating the numbers PAYING HOSPITALS MORE if patients listed COVID-19 -3 times more if placed on ventilato…,RavenRantz,Sunny Southern California
"RT @karol: Nursing homes in NY were forced to admit patients who had tested positive, or who were suspected of having, COVID-19. How is thi…",AmmoRiffic,Minnesotastan
"RT @HillBeverlyhill: Trump's staff cuts have undermined Covid-19 containment efforts, watchdog finds https://t.co/OW9d1nOkem",ForrestLHurst,Atlantic County NJ
RT @business: Doctors around the world are noting a raft of blood clotting disorders related to Covid-19 -- from benign skin lesions on the…,nickbaldwin_z,"Sydney, Australia"
"Can we use interleukin-6 (IL-6) blockade for coronavirus disease 2019 (COVID-19)-induced cytokine release syndrome (CRS)?
https://t.co/cfzGeQYSNc",MR04083,
RT @Cristina2News: Drive-thru COVID-19 testing opens at Utah State Fairpark Saturday https://t.co/BCaQfeXOV3,UomoPena,
RT @htTweets: PM Modi chaired a meeting of the task force on #coronavirus vaccine development and took a detailed review of the current sta…,SamirBal,"Rajnagar, Odisha, India"
RT @airnews_imphal: #Manipur: A meeting of the State Consultative Committee for COVID-19 chaired by CM @NBirenSingh was held today to discu…,shivesh77_kumar,INDIA
"RT @camelliakyoto: Many of Kyoto's shrines and temples have taken it upon their own shoulders to pray for an end to COVID-19.

At Ninna-ji…",EEC0728,"NishitamaCounty, Tokyo🇯🇵"
"RT @flm22: UNFREAKING believable. The President of Tanzania BUSTED out WHO/FAUCI/BIRX/GATES/CHINA CoronaVirus test kits.
Smart smart man.
H…",Secret6Squirrel,
RT @thehill: Trump says Fauci and Birx will still be involved in coronavirus efforts https://t.co/NhGG37p88O https://t.co/zhdh1ICl2r,CaryNovak,USA
